accuracy: 0.62 	 method: sar 	 type: rougeL_to_target 	 threshold: 0.5000 	 AUC: 0.5416
accuracy: 0.62 	 method: sar 	 type: sentsim 	 threshold: 0.5000 	 AUC: 0.5416
accuracy: 0.62 	 method: sentence-sar 	 type: rougeL_to_target 	 threshold: 0.5000 	 AUC: 0.5942
accuracy: 0.62 	 method: sentence-sar 	 type: sentsim 	 threshold: 0.5000 	 AUC: 0.5942
accuracy: 0.62 	 method: token-sar 	 type: rougeL_to_target 	 threshold: 0.5000 	 AUC: 0.5000
accuracy: 0.62 	 method: token-sar 	 type: sentsim 	 threshold: 0.5000 	 AUC: 0.5000
accuracy: 0.62 	 method: len-normed-predictive-entropy 	 type: rougeL_to_target 	 threshold: 0.5000 	 AUC: 0.5000
accuracy: 0.62 	 method: len-normed-predictive-entropy 	 type: sentsim 	 threshold: 0.5000 	 AUC: 0.5000
accuracy: 0.62 	 method: predictive-entropy 	 type: rougeL_to_target 	 threshold: 0.5000 	 AUC: 0.5000
accuracy: 0.62 	 method: predictive-entropy 	 type: sentsim 	 threshold: 0.5000 	 AUC: 0.5000
accuracy: 0.62 	 method: lexical-similarity 	 type: rougeL_to_target 	 threshold: 0.5000 	 AUC: 0.4728
accuracy: 0.62 	 method: lexical-similarity 	 type: sentsim 	 threshold: 0.5000 	 AUC: 0.4728
