accuracy: 0.54 	 method: sar 	 type: rougeL_to_target 	 threshold: 0.5000 	 AUC: 0.4799
accuracy: 0.54 	 method: sar 	 type: sentsim 	 threshold: 0.5000 	 AUC: 0.4799
accuracy: 0.54 	 method: sentence-sar 	 type: rougeL_to_target 	 threshold: 0.5000 	 AUC: 0.5878
accuracy: 0.54 	 method: sentence-sar 	 type: sentsim 	 threshold: 0.5000 	 AUC: 0.5878
accuracy: 0.54 	 method: token-sar 	 type: rougeL_to_target 	 threshold: 0.5000 	 AUC: 0.5000
accuracy: 0.54 	 method: token-sar 	 type: sentsim 	 threshold: 0.5000 	 AUC: 0.5000
accuracy: 0.54 	 method: len-normed-predictive-entropy 	 type: rougeL_to_target 	 threshold: 0.5000 	 AUC: 0.5668
accuracy: 0.54 	 method: len-normed-predictive-entropy 	 type: sentsim 	 threshold: 0.5000 	 AUC: 0.5668
accuracy: 0.54 	 method: predictive-entropy 	 type: rougeL_to_target 	 threshold: 0.5000 	 AUC: 0.5668
accuracy: 0.54 	 method: predictive-entropy 	 type: sentsim 	 threshold: 0.5000 	 AUC: 0.5668
accuracy: 0.54 	 method: lexical-similarity 	 type: rougeL_to_target 	 threshold: 0.5000 	 AUC: 0.4340
accuracy: 0.54 	 method: lexical-similarity 	 type: sentsim 	 threshold: 0.5000 	 AUC: 0.4340
